n,score
1331,59084
1332,36028
1333,14428
1334,35612
1335,31432
1336,34764
1337,13916
1338,33948
1339,35196
1340,14012
1341,60404
1342,59044
1343,63636
1344,35884
1345,35488
1346,34476
1347,30064
1348,36224
1349,35832
1350,35472
1351,34180
1352,12224
1353,35168
1354,36060
1355,35436
1356,33992
1357,34404
1358,35416
1359,11628
1360,26408
1361,31148
1362,25804
1363,34048
1364,36232
1365,33900
1366,36292
1367,21700
1368,26556
1369,36024
1370,5732
1371,41912
1372,35740
1373,52564
1374,56436
1375,23296
1376,37664
1377,32356
1378,33536
1379,31752
1380,35308
1381,34452
1382,31888
1383,54888
1384,21912
1385,12220
1386,18360
1387,35196
1388,33948
1389,31692
1390,36868
1391,58340
1392,35472
1393,56264
1394,27724
1395,35820
1396,35844
1397,30776
1398,37824
1399,34032
1400,34060
1401,35600
1402,34432
1403,26336
1404,14480
1405,36160
1406,32004
1407,30420
1408,34376
1409,32884
1410,34496
1411,35392
1412,56380
1413,35452
1414,35776
1415,7248
1416,36420
1417,26744
1418,35644
1419,21712
1420,34460
1421,69720
1422,35856
1423,15692
1424,16084
1425,60056
1426,34132
1427,30676
1428,35368
1429,4900
1430,30584
1431,34160
1432,28960
1433,60312
1434,21648
1435,34504
1436,34740
1437,31484
1438,31944
1439,62588
1440,35328
1441,23172
1442,35720
1443,34608
1444,35232
1445,35228
1446,34164
1447,34432
1448,27824
1449,33804
1450,33640
1451,17032
1452,31944
1453,30520
1454,32092
1455,34464
1456,27164
1457,23972
1458,31356
1459,23136
1460,55744
1461,34444
1462,1748
1463,1896
1464,32592
1465,34072
1466,35500
1467,33176
1468,36028
1469,32364
1470,30464
1471,34476
1472,36476
1473,35824
1474,31840
1475,36036
1476,42696
1477,26892
1478,35400
1479,30796
1480,32848
1481,31128
1482,12224
1483,40888
1484,60428
1485,36004
1486,30944
1487,35288
1488,62992
1489,64188
1490,33568
1491,35732
1492,31172
1493,35408
1494,31664
1495,35804
1496,27044
1497,31284
1498,23288
1499,36784
1500,15972
1501,35480
1502,34092
1503,34520
1504,36032
1505,35764
1506,36236
1507,25516
1508,30588
1509,29660
1510,32472
1511,30768
1512,59724
1513,32068
1514,16532
1515,35488
1516,30856
1517,36032
1518,7196
1519,34356
1520,35432
1521,48088
1522,25244
1523,1868
1524,34832
1525,32232
1526,35816
1527,31116
1528,21408
1529,35804
1530,30596
1531,60816
1532,7152
1533,38264
1534,27148
1535,33520
1536,23936
1537,41300
1538,31356
1539,31836
1540,14488
1541,27100
1542,25904
1543,33740
1544,30832
1545,35952
1546,36064
1547,59424
1548,60236
1549,32132
1550,56168
1551,45000
1552,29876
1553,34520
1554,31604
1555,33816
1556,32088
1557,59028
1558,34496
1559,32244
1560,36136
1561,54416
1562,34428
1563,34052
1564,37600
1565,30436
1566,30600
1567,32952
1568,35464
1569,36020
1570,36576
1571,36028
1572,60348
1573,32288
1574,35584
1575,34120
1576,36256
1577,33460
1578,35936
1579,32128
